gloss_input,english_input,filipino_output,origin,context_tag
HE TIRED WORK TODAY AFTERNOON,He's tired at work this afternoon.,Pagod siya sa trabaho ngayong hapon.,FSL,emotion
HE STUDY,He studies.,Nag-aaral siya.,FSL,neutral
YOU CAN RUN,You can run away.,Makakatakbo ka.,FSL,action
BLUE YOU LIKE,You like blue.,Gusto mo ng asul.,ASL,color
THEY NEED FOOD,They need food.,Kailangan nila ng pagkain.,FSL,common_verbs
MOTHER YOU MEET,You're meeting your mother.,Nakikita mo ang iyong ina.,ASL,people
HE WRITE LETTER,He writes a letter.,Sumusulat siya ng liham.,FSL,action
I HAVE EIGHT,I have eight.,Mayroon akong walo.,FSL,number
I HAVE HOUSE,I have a house.,Mayroon akong bahay.,FSL,object_things
YOU FEEL HUNGRY,You're hungry.,Gutom ka.,FSL,neutral
YOU DRINK,You're drinking.,Umiinom ka.,FSL,common_verbs
YOU BECOME SAD,You're getting sad.,Nagiging malungkot ka.,FSL,emotion
YOU ANGRY,You are angry.,Galit ka.,FSL,emotion
YOU COME HOME,You come home.,Uuwi ka.,FSL,common_verbs
WE WALK,We're leaving.,Naglalakad tayo.,FSL,common_verbs
YOU LIKE WHAT FOOD,What kind of food do you like?,Anong pagkain ang gusto mo?,ASL,question
SCHOOL YOU GO,You're going to school.,Pupunta ka sa paaralan.,ASL,place
HE SAD,He is sad.,Malungkot siya.,FSL,emotion
HE SHOW IT,He's showing it.,Ipinakikita niya ito.,FSL,neutral
WE NEED BLACK,We need black.,Kailangan natin ng itim.,FSL,color
YOU LIKE RED MORE,You like more red.,Mas gusto mo ang pula.,FSL,color
SHE COME WORK,She comes to work.,Pumupunta siya sa trabaho.,FSL,common_verbs
I PLAY WITH FRIEND HOME,I'm playing at home with my friend.,Naglalaro ako kasama ang aking kaibigan sa bahay.,FSL,place
I TRY,I try.,Sinusubukan ko.,FSL,neutral
HE EAT TODAY AFTERNOON,He eats this afternoon.,Kakain siya ngayong hapon.,FSL,time
WE READ,We're reading.,Nagbabasa tayo.,FSL,action
I TALK WITH FRIEND,I'll talk to my friend.,Nakikipag-usap ako sa aking kaibigan.,FSL,people
WE GO STORE AFTERNOON,We go to the store in the afternoon.,Pupunta tayo sa tindahan sa hapon.,FSL,time
HE LITTLE TIRED,He's a little tired.,Medyo pagod siya.,FSL,emotion
YOU WEAR BLUE,You're wearing blue.,Sumusuot ka ng asul.,FSL,neutral
YOU STUDY HARD SCHOOL TODAY,You're studying hard at school today.,Nag-aaral kang mabuti sa paaralan ngayon.,FSL,action
YOU LEAVE,You leave.,Umaalis ka.,FSL,neutral
YOU WAIT FRIEND,You wait for your friend.,Hinihintay mo ang iyong kaibigan.,FSL,people
YOU NO GO,You're not going.,Hindi ka pupunta.,FSL,neutral
YOU TALK,You're talking.,Nakikipag-usap ka.,FSL,neutral
HE GIVE UP,He gives up.,Sumusuko siya.,FSL,neutral
YOU STOP,You should stop.,Dapat kang tumigil.,ASL,imperative
I TEACH YOU PLAY,I teach you to play.,Tinuturuan kita maglaro.,FSL,action
YOU TELL,Say it.,Sinasabi mo.,FSL,neutral
SHE COME HOME TOMORROW,She comes home tomorrow.,Uuwi siya bukas.,FSL,time
YOU FIND,You find.,Nakahanap ka.,FSL,neutral
I FEEL HOT,I'm hot.,Naiinitan ako.,FSL,neutral
MOTHER FATHER GOOD,My parents are good.,Mabuti ang aking mga magulang.,ASL,people
I GO TO HOME,I'm going home.,Uuwi ako.,FSL,place
BE CAREFUL,Be careful.,Mag-ingat ka.,FSL,imperative
I HELP MOTHER,I'm helping my mother.,Tinutulungan ko ang aking ina.,FSL,people
I HAPPY YOU,I'm happy with you.,Masaya ako sa iyo.,FSL,emotion
YOU NO GO,You don't go.,Hindi ka pupunta.,FSL,neutral
HE MISS MOTHER,He misses his mother.,Miss niya ang kanyang ina.,FSL,people
I READ,I read.,Nagbabasa ako.,FSL,action
I RIGHT,I am right.,Tama ako.,FSL,neutral
THANKYOU YOU HELP,Thank you for helping me.,Salamat sa tulong mo.,FSL,greeting
YOU BUILD,You build.,Bumubuo ka.,FSL,neutral
HE GO TO WORK,He goes to work.,Pupunta siya sa trabaho.,FSL,place
YOU NEVER WRONG,You're never wrong.,Hindi ka kailanman mali.,FSL,time
WHERE HE WORK NOW,Where does he work now?,Saan siya nagtatrabaho ngayon?,FSL,question
HE BUY FOOD,He buys food.,Bumibili siya ng pagkain.,FSL,object_things
HAPPY I YOU,I'm happy with you.,Masaya ako sa iyo.,ASL,emotion
I WAIT FATHER,I'm waiting for my father.,Hinihintay ko ang aking ama.,FSL,people
YOU SHOULD GO SCHOOL,You should go to school.,Dapat kang pumunta sa paaralan.,FSL,place
SHE WITH FAMILY,She is with her family.,Kasama niya ang kanyang pamilya.,FSL,people
HE WITH FRIEND,He is with his friend.,Kasama niya ang kanyang kaibigan.,FSL,people
I START,I start.,Nagsisimula ako.,FSL,neutral
I GO FARM,I'm going to the farm.,Pupunta ako sa bukid.,FSL,place
YOU THANKFUL TO ME,You are thankful to me.,Nagpapasalamat ka sa akin.,FSL,emotion
NO I GO,"No, I'm not going.",Hindi ako pupunta.,MIXED,common_verbs
